,idx,Q_num,word,corrected
0,1,139_Q21,messily,easily
1,2,117_Q21,demotivated,motivated
2,4,67_Q21,j-dawg,dawg
3,6,143_Q21,abbruptly,abruptly
4,6,151_Q21,neighed,weighed
5,7,91_Q21,pockete,pocket
6,9,183_Q21,hathaway,pathway
7,10,28_Q21,didnt,didn't
8,10,183_Q21,didnt,didn't
9,10,191_Q21,emtpy,empty
10,10,204_Q21,didnt,didn't
11,10,208_Q21,sjould,should
12,11,51_Q21,a.m.,am
13,11,208_Q21,w,i
14,12,56_Q21,q,i
15,13,20_Q21,akwardly,awkwardly
16,13,142_Q21,intensly,intensely
17,13,151_Q21,whinnied,whinnies
18,14,214_Q21,quitely,quietly
19,15,14_Q21,himsef,himself
20,15,47_Q21,smike,smoke
21,15,98_Q21,didnt,didn't
22,15,135_Q21,smiler,smile
23,15,189_Q21,looksd,looks
24,16,139_Q21,letterd,letter
25,17,87_Q21,firee,free
26,17,116_Q21,parkes,parked
27,17,178_Q21,towarda,towards
28,17,192_Q21,flar,far
29,20,51_Q21,oclock,clock
30,20,208_Q21,ws,is
31,21,14_Q21,hiself,himself
32,21,67_Q21,handsom,handsome
33,21,147_Q21,sandwhich,sandwich
34,21,191_Q21,amusmant,amusement
35,22,9_Q21,soup0,soup
36,22,52_Q21,creakily,creaking
37,22,56_Q21,whatfor,thatfor
38,22,76_Q21,aything,anything
39,22,110_Q21,riddens,ridden
40,22,132_Q21,what?,what
41,22,183_Q21,bolyn,bolin
42,22,189_Q21,mahony,many
43,22,209_Q21,wa\nts,wants
44,23,38_Q21,spannish,spanish
45,23,51_Q21,pm,am
46,23,110_Q21,riddence,riddance
47,24,36_Q21,monolog,monologue
48,24,200_Q21,begining,beginning
49,25,174_Q21,likw,like
50,26,72_Q21,breag,break
51,26,204_Q21,hekd,head
52,26,210_Q21,shitzu,shit
53,26,214_Q21,abd,and
54,27,158_Q21,costeau,chateau
55,27,213_Q21,tapirs,tapers
56,28,155_Q21,stoamch,stomach
57,29,200_Q21,headlands,headbands
58,30,5_Q21,kloot,loot
59,30,58_Q21,bbw,bow
60,30,115_Q21,cunnilingis,cunnilingus
61,30,169_Q21,bearish,beamish
62,30,185_Q21,misteltoe,mistletoe
63,30,210_Q21,clitorus,clitoris
64,31,138_Q21,bulagria,bulgarian
65,33,117_Q21,demotivated,motivated
66,33,128_Q21,movew,move
67,33,163_Q21,,i
68,34,151_Q21,neighed,weighed
69,36,158_Q21,dutronc,dutton
70,37,140_Q21,everythinhg,everything
71,38,34_Q21,beautful,beautiful
72,38,117_Q21,demotivated,motivated
73,39,51_Q21,pm,am
74,42,51_Q21,oclock,clock
75,42,86_Q21,covid,couid
76,42,96_Q21,sterdy,steady
77,42,177_Q21,spagetti,spaghetti
78,42,189_Q21,malonne,malone
79,42,192_Q21,appartment,apartment
80,42,212_Q21,inudently,intently
81,43,96_Q21,doored,doomed
82,43,125_Q21,tv,to
83,44,37_Q21,isnt,isn't
84,44,100_Q21,didnt,didn't
85,44,115_Q21,sk,so
86,44,123_Q21,isnt,isn't
87,44,127_Q21,d,i
88,44,134_Q21,movd,move
89,44,149_Q21,bauls,balls
90,44,159_Q21,nuzzeled,puzzled
91,44,184_Q21,agressive,aggressive
92,45,47_Q21,sifh,sigh
93,47,51_Q21,oclock,clock
94,47,183_Q21,bolyn,bolin
95,48,132_Q21,you're,you've
96,48,156_Q21,apprehensively,apprehensive
97,48,214_Q21,contently,constantly
98,49,19_Q21,sandwhich,sandwich
99,50,76_Q21,bulls-eye,bullseye
100,50,160_Q21,suprised,surprised
101,52,49_Q21,didnt,didn't
102,54,141_Q21,acrosa,across
103,54,158_Q21,pepin,pain
104,55,158_Q21,siad,said
105,55,183_Q21,,i
106,56,23_Q21,streched,stretched
107,56,51_Q21,oclock,clock
108,56,124_Q21,evwrything,everything
109,56,136_Q21,stsre,store
110,56,149_Q21,shriks,shrinks
111,56,150_Q21,didnt,didn't
112,56,151_Q21,gallopped,galloped
113,56,200_Q21,behinning,beginning
114,59,18_Q21,housr,house
115,59,24_Q21,bashinh,bashing
116,59,26_Q21,easons,reasons
117,59,118_Q21,agreeded,agreed
118,60,51_Q21,pm,am
119,60,65_Q21,todl,told
120,61,125_Q21,tv,to
121,63,160_Q21,,i
122,63,174_Q21,crassly,classy
123,63,183_Q21,hathaway,pathway
124,64,27_Q21,rdio,radio
125,64,151_Q21,whinnied,whinnies
126,64,178_Q21,cockily,luckily
127,67,52_Q21,creekily,creepily
128,67,67_Q21,jimbob,jimbo
129,67,183_Q21,franke,frank
130,67,184_Q21,knicked,kicked
131,67,189_Q21,cottee,cotter
132,67,204_Q21,wimpered,whimpered
133,67,205_Q21,benevolently,benevolent
134,68,119_Q21,conquor,conquer
135,69,61_Q21,housd,house
136,70,23_Q21,yelped,helped
137,70,34_Q21,walkinh,walking
138,70,42_Q21,bittom,bottom
139,70,52_Q21,swifly,swiftly
140,70,95_Q21,alchol,alcohol
141,70,154_Q21,chacos,chaos
142,71,11_Q21,inti,into
143,71,23_Q21,shloulders,shoulders
144,71,125_Q21,tv,to
145,71,151_Q21,neighed,weighed
146,71,153_Q21,begining,beginning
147,71,160_Q21,agast,aghast
148,71,172_Q21,immeadiately,immediately
149,71,191_Q21,alkward,awkward
150,71,205_Q21,toothily,toothy
151,72,151_Q21,cantered,centered
152,74,31_Q21,beacuse,because
153,74,36_Q21,instructual,instinctual
154,74,58_Q21,beacuse,because
155,74,75_Q21,where?,where
156,74,80_Q21,hopuse,house
