,idx,Q_num,word,corrected
0,1,64_Q19,excersise,exercise
1,3,175_Q19,aplomb,plumb
2,4,93_Q19,dnces,dances
3,4,95_Q19,desisted,resisted
4,4,133_Q19,tv,to
5,5,18_Q19,monday?,monday
6,5,125_Q19,shon,show
7,7,106_Q19,"slept,",slept
8,7,163_Q19,oit,it
9,7,192_Q19,hooe,home
10,7,211_Q19,"me,",me
11,8,133_Q19,tv,to
12,10,95_Q19,yelped,helped
13,11,133_Q19,tv,to
14,12,6_Q19,whst,what
15,12,28_Q19,unlovef,unloved
16,12,79_Q19,rememberance,remembrance
17,12,193_Q19,isnt,isn't
18,13,7_Q19,,i
19,13,12_Q19,alot,lot
20,13,17_Q19,,i
21,13,23_Q19,,i
22,13,43_Q19,,i
23,13,60_Q19,,i
24,13,73_Q19,,i
25,13,79_Q19,,i
26,13,88_Q19,,i
27,13,91_Q19,,i
28,13,97_Q19,tommorow,tomorow
29,13,100_Q19,,i
30,13,117_Q19,alot,lot
31,13,124_Q19,,i
32,13,127_Q19,tommorow,tomorow
33,13,136_Q19,,i
34,13,168_Q19,,i
35,13,171_Q19,,i
36,13,182_Q19,alot,lot
37,13,208_Q19,,i
38,13,214_Q19,,i
39,14,73_Q19,,i
40,14,76_Q19,noone,none
41,14,144_Q19,,i
42,15,126_Q19,hsnds,hands
43,15,182_Q19,alot,lot
44,15,209_Q19,thiz,this
45,16,133_Q19,tv,to
46,17,3_Q19,solomly,slowly
47,17,10_Q19,happly,happy
48,17,13_Q19,beconed,beckoned
49,17,14_Q19,cauldia,coulda
50,17,44_Q19,slumed,slumped
51,17,60_Q19,amoung,among
52,17,84_Q19,gubbed,rubbed
53,17,88_Q19,senew,renew
54,17,110_Q19,apon,upon
55,17,114_Q19,grans,grand
56,17,125_Q19,bouced,bounced
57,17,133_Q19,tv,to
58,17,175_Q19,distorion,distortion
59,17,191_Q19,vearing,wearing
60,17,207_Q19,beconked,belonged
61,18,9_Q19,wjy,why
62,18,41_Q19,smokee,smoke
63,18,50_Q19,hornt,horn
64,18,92_Q19,aip,air
65,18,102_Q19,glisen,glisten
66,18,107_Q19,slowlt,slowly
67,18,123_Q19,glorly,glory
68,18,126_Q19,jead,head
69,18,152_Q19,corriodr,corridor
70,18,157_Q19,rulew,rule
71,18,182_Q19,alot,lot
72,19,53_Q19,kniw,know
73,19,74_Q19,diwn,down
74,19,76_Q19,no-one,none
