,idx,Q_num,word,corrected
0,1,68_Q20,missing.,missing
1,1,122_Q20,happend,happened
2,1,185_Q20,sentance,sentence
3,3,6_Q20,brothrr,brother
4,3,61_Q20,begain,begin
5,3,71_Q20,promply,promptly
6,3,96_Q20,itb,it
7,3,132_Q20,tv,to
8,3,168_Q20,begain,begin
9,3,170_Q20,upn,up
10,3,184_Q20,geartb,heart
11,3,185_Q20,sentance,sentence
12,4,117_Q20,agitatedly,agitated
13,6,21_Q20,lifelessly,lifeless
14,6,30_Q20,ructions,auctions
15,7,163_Q20,hsi,his
16,7,195_Q20,noone,none
17,8,132_Q20,tv,to
18,9,12_Q20,pleaee,please
19,9,32_Q20,ynder,under
20,10,6_Q20,bly,by
21,10,13_Q20,didnt,didn't
22,10,16_Q20,whinning,winning
23,10,21_Q20,beciase,because
24,10,23_Q20,woshed,washed
25,10,84_Q20,eish,wish
26,10,132_Q20,tv,to
27,10,140_Q20,soghed,sighed
28,10,144_Q20,hig,his
29,10,145_Q20,becaise,because
30,10,146_Q20,wosh,wish
31,10,202_Q20,didnt,didn't
32,11,99_Q20,,i
33,11,203_Q20,ghe,the
34,12,13_Q20,didnt,didn't
35,13,86_Q20,bang!,bang
36,13,132_Q20,tv,to
37,13,167_Q20,tiredly,tired
38,14,93_Q20,fishburne,fishbone
39,15,13_Q20,didnt,didn't
40,16,109_Q20,them.,them
41,16,123_Q20,do.,do
42,16,127_Q20,back.,back
43,16,184_Q20,arms.,arms
44,17,117_Q20,tiredly,tired
45,18,33_Q20,protectively,protective
46,19,135_Q20,hosue,house
47,19,159_Q20,worktop,workshop
48,20,3_Q20,beleive,believe
49,20,33_Q20,crossly,grossly
50,20,129_Q20,preform,perform
51,20,199_Q20,waitrose,waitress
52,22,121_Q20,sje,she
53,22,139_Q20,alrwady,already
54,22,198_Q20,suceed,sucked
55,24,84_Q20,cnst,cost
56,24,149_Q20,stull,still
57,24,198_Q20,wori,work
58,25,34_Q20,reprehensibly,reprehensible
59,25,48_Q20,,i
60,25,56_Q20,yelped,helped
61,25,103_Q20,,i
62,26,99_Q20,,i
63,27,210_Q20,instore,inshore
64,28,185_Q20,senteance,sentence
65,29,130_Q20,openned,opened
66,29,171_Q20,kimmy,jimmy
67,30,26_Q20,puch,much
68,30,94_Q20,relantionship,relationship
69,30,215_Q20,spatular,spatula
70,33,2_Q20,,i
71,33,39_Q20,,i
72,33,59_Q20,,i
73,33,108_Q20,didnt,didn't
74,33,132_Q20,tv,to
75,33,134_Q20,didnt,didn't
76,33,152_Q20,wryly,dryly
77,33,157_Q20,,i
78,33,173_Q20,,i
79,34,126_Q20,loev,love
80,35,159_Q20,tabl,table
81,35,177_Q20,forwars,forward
82,35,197_Q20,thouhhts,thoughts
83,36,101_Q20,weas,was
84,36,134_Q20,wasnt,want
85,36,195_Q20,sge,she
86,37,11_Q20,bence,fence
87,37,59_Q20,shoukd,should
88,37,198_Q20,smole,stole
89,37,199_Q20,asda,anda
90,38,65_Q20,tescos,tests
91,38,176_Q20,insistingly,insisting
92,38,180_Q20,procrastinates,procrastinate
93,39,90_Q20,lawnmowers,lawnmower
94,39,102_Q20,alot,lot
95,40,24_Q20,einstien,einstein
96,40,32_Q20,",then",then
97,40,63_Q20,apon,upon
98,40,68_Q20,intouch,touch
99,40,82_Q20,wasnt,want
100,40,134_Q20,wasnt,want
101,40,148_Q20,apon,upon
102,40,185_Q20,sentance,sentence
103,40,194_Q20,didnt,didn't
104,40,202_Q20,isnt,isn't
105,41,34_Q20,ij,i
106,41,62_Q20,ihto,into
107,41,117_Q20,wisjing,wishing
108,41,124_Q20,m3n,man
109,43,134_Q20,didnt,didn't
110,44,172_Q20,tge,the
111,45,22_Q20,"house,",house
112,45,39_Q20,snorkels,snorkel
113,45,89_Q20,reassuredly,reassured
114,47,26_Q20,biy,by
115,47,93_Q20,didnt,didn't
116,47,112_Q20,didnt,didn't
117,47,180_Q20,doesnt,doesn't
118,48,162_Q20,,i
119,49,132_Q20,tv,to
120,50,19_Q20,sagely,safely
121,51,39_Q20,pontificated,pontificate
122,51,122_Q20,happenend,happened
123,51,156_Q20,magnificient,magnificent
124,52,132_Q20,tv,to
125,52,152_Q20,sweelt,sweet
126,52,173_Q20,snoked,smoked
127,53,79_Q20,cannibis,cannabis
128,55,21_Q20,limply,simply
129,55,33_Q20,crossly,grossly
130,55,173_Q20,truef,true
131,55,210_Q20,agter,after
132,57,51_Q20,linch,lunch
133,57,81_Q20,witj,with
134,57,132_Q20,tv,to
135,57,164_Q20,punchef,punched
136,58,42_Q20,,i
137,58,52_Q20,,i
138,58,84_Q20,,i
139,58,117_Q20,soothingly,soothing
140,58,160_Q20,,i
141,59,82_Q20,wasnt,want
142,59,125_Q20,didnt,didn't
143,59,134_Q20,didnt,didn't
144,59,141_Q20,iied,died
145,60,21_Q20,unconcious,unconscious
146,60,130_Q20,cloaed,closed
147,60,152_Q20,cheesily,cheesy
148,60,180_Q20,doesnt,doesn't
149,61,19_Q20,sagely,safely
150,61,79_Q20,languidly,languid
151,63,192_Q20,scowled,showed
152,64,69_Q20,,i
153,65,24_Q20,finney,finley
154,65,75_Q20,really!,really
155,65,93_Q20,fishbourne,fishbone
156,65,140_Q20,tutted,gutted
157,65,173_Q20,beale,belle
158,65,210_Q20,instore,inshore
159,66,15_Q20,timr,time
160,66,91_Q20,still.,still
161,66,116_Q20,roght,right
162,66,151_Q20,heathers,feathers
163,66,173_Q20,beale,belle
164,69,19_Q20,sagely,safely
165,69,126_Q20,wll,all
166,69,132_Q20,tv,to
167,71,4_Q20,cheesebuger,cheeseburger
168,71,68_Q20,layed,played
169,72,167_Q20,despondently,despondent
170,74,23_Q20,soghed,sighed
171,74,144_Q20,wuick,quick
172,74,148_Q20,st,it
173,75,132_Q20,tv,to
174,77,3_Q20,imagine.,imagine
175,77,7_Q20,it.,it
176,77,14_Q20,motherhood.,motherhood
177,77,68_Q20,admitted.,admitted
178,77,110_Q20,bacteria.,bacteria
179,77,132_Q20,desk.,desk
180,77,137_Q20,children.,children
181,77,158_Q20,"open,",open
182,77,208_Q20,work.,work
183,77,212_Q20,down.,down
184,79,57_Q20,ha!,had
185,79,58_Q20,,i
186,79,171_Q20,kimmy,jimmy
187,80,68_Q20,undergound,underground
188,81,93_Q20,ws,is
