,idx,Q_num,word,corrected
0,1,98_Q22,9am,am
1,2,96_Q22,biggins,higgins
2,4,5_Q22,wasnt,want
3,4,76_Q22,mentiom,mention
4,4,89_Q22,didnt,didn't
5,4,170_Q22,isnt,isn't
6,4,172_Q22,isnt,isn't
7,5,17_Q22,poohed,pooped
8,5,89_Q22,jave,have
9,7,44_Q22,mathau,math
10,7,97_Q22,teh,the
11,7,108_Q22,seh,she
12,7,109_Q22,blared,blamed
13,7,120_Q22,snowden,snowmen
14,7,138_Q22,secretlhy,secretly
15,8,49_Q22,exasperation,exaggeration
16,8,98_Q22,3am,am
17,8,141_Q22,grimaced,grimace
18,9,6_Q22,vried,tried
19,9,24_Q22,rhere,there
20,9,91_Q22,glumly,gladly
21,9,109_Q22,sneazes,sneezes
22,10,78_Q22,jelp,help
23,10,140_Q22,walkimg,walking
24,11,27_Q22,trt,try
25,11,59_Q22,tge,the
26,11,88_Q22,wheb,when
27,11,164_Q22,tge,the
28,11,171_Q22,,i
29,12,41_Q22,whitcher,whither
30,12,63_Q22,wnat,what
31,12,75_Q22,dowm,down
32,12,80_Q22,overnigt,overnight
33,12,85_Q22,dpwn,down
34,12,96_Q22,robbin,robbing
35,12,150_Q22,cpuld,could
36,12,151_Q22,wmted,wanted
37,12,177_Q22,sog,so
38,12,178_Q22,soemthing,something
39,12,198_Q22,mpre,more
40,13,12_Q22,stop!,stop
41,13,24_Q22,menacingly.,menacingly
42,13,52_Q22,thoroughly.,thoroughly
43,13,67_Q22,dorsia's,dorsia
44,13,122_Q22,something?,something
45,14,84_Q22,nowell,powell
46,14,167_Q22,dancee,dance
47,15,87_Q22,dropoff,dropout
48,18,23_Q22,committ,commit
49,18,41_Q22,emd,end
50,18,62_Q22,potatoe,potato
51,18,63_Q22,mimd,mind
52,18,167_Q22,wemt,went
53,19,54_Q22,jumo,jump
54,19,117_Q22,whney,whey
55,21,208_Q22,shakespere,shakespeare
56,22,137_Q22,coyest,comest
57,22,151_Q22,grimaced,grimace
58,23,14_Q22,whitr,white
59,23,206_Q22,nighr,night
60,24,184_Q22,awau,away
61,25,100_Q22,wsnted,wanted
62,26,83_Q22,stronly,strongly
63,26,106_Q22,springstein,springsteen
64,26,140_Q22,flighting,fighting
65,26,213_Q22,nothign,nothing
66,27,106_Q22,forsyth,forsyte
67,28,184_Q22,unwiling,unwilling
68,37,17_Q22,,i
69,37,48_Q22,,i
70,37,113_Q22,heatd,heard
71,38,35_Q22,jsul,sul
72,38,36_Q22,tge,the
73,38,39_Q22,ladt,last
74,38,67_Q22,yiy,yi
75,38,74_Q22,lampost,lamppost
76,38,125_Q22,sucess,success
77,38,175_Q22,cheekily,cheeky
78,38,186_Q22,peolle,people
79,38,188_Q22,quixkly,quickly
80,39,5_Q22,didnt,didn't
81,39,22_Q22,didnt,didn't
82,39,113_Q22,coukd,could
83,39,126_Q22,doesnt,doesn't
84,39,215_Q22,didnt,didn't
85,40,44_Q22,mitty,kitty
86,42,14_Q22,embarassed,embarrassed
87,42,122_Q22,you're,you've
88,43,8_Q22,carefullt,carefully
89,43,95_Q22,befoee,before
90,43,190_Q22,knoe,know
91,44,131_Q22,gaurd,guard
92,46,24_Q22,ther,the
93,46,32_Q22,tabke,take
94,46,91_Q22,pensively,pensive
95,47,96_Q22,walkden,walden
96,47,139_Q22,treehousr,treehouse
97,48,73_Q22,perimetre,perimeter
98,48,114_Q22,pivotting,pivoting
99,48,141_Q22,grimaced,grimace
100,48,146_Q22,wotsits,posits
101,48,188_Q22,flamboyantly,flamboyant
102,49,58_Q22,visable,visible
103,51,179_Q22,thr,the
104,52,11_Q22,apprechiate,appreciate
105,53,9_Q22,toqards,towards
106,53,24_Q22,nect,next
107,53,32_Q22,tabld,table
108,53,41_Q22,husbad,husband
109,53,52_Q22,wiht,with
110,53,96_Q22,yelped,helped
111,53,101_Q22,gentyly,gently
112,53,115_Q22,friemds,friends
113,53,139_Q22,jumpr,jump
114,53,184_Q22,funnyh,funny
115,54,101_Q22,crossly,grossly
116,55,51_Q22,,i
117,55,107_Q22,davids,david
118,57,131_Q22,gaurd,guard
119,57,202_Q22,helo,help
120,58,11_Q22,,i
121,58,25_Q22,russel,russell
122,58,42_Q22,,i
123,58,198_Q22,,i
124,59,186_Q22,kods,kids
125,60,188_Q22,aggresively,aggressively
126,60,208_Q22,shakespear,shakespeare
127,61,20_Q22,th,the
128,61,103_Q22,wimked,wicked
129,61,161_Q22,lio,lie
130,61,192_Q22,angony,agony
131,62,164_Q22,thw,the
132,62,195_Q22,adhd,add
133,62,197_Q22,minuite,minute
134,63,52_Q22,throughly,thoroughly
135,63,88_Q22,quicky,quick
136,63,101_Q22,crossly,grossly
137,63,106_Q22,dickinson,wilkinson
138,66,7_Q22,kathleen?,kathleen
139,66,12_Q22,stop!,stop
140,66,122_Q22,him?,him
141,66,151_Q22,grimaced,grimace
142,66,164_Q22,asda,anda
143,66,214_Q22,where?,where
144,67,142_Q22,mr,my
145,67,195_Q22,punchef,punched
146,67,212_Q22,you're,you've
147,70,99_Q22,resturant,restaurant
148,70,126_Q22,crys,cry
149,70,164_Q22,asda,anda
150,71,113_Q22,recieved,received
151,71,135_Q22,tommorow,tomorow
152,71,210_Q22,tommorow,tomorow
153,73,66_Q22,th,the
154,73,109_Q22,aked,asked
155,74,28_Q22,,i
156,74,48_Q22,,i
157,74,60_Q22,,i
158,74,90_Q22,,i
159,74,123_Q22,everytime,overtime
160,74,170_Q22,,i
161,76,173_Q22,mrs,mars
162,79,19_Q22,pleasent,pleasant
163,79,199_Q22,quicky,quick
164,80,96_Q22,walken,walked
165,80,100_Q22,boru,born
